 # done by Task#3 of TABOO on 2017.02.06 time=16.02.48
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      geoid (m)
# --------------------------------------------
       93.00000       83.00000       -0.10153
       95.00000       83.00000       -0.10153
       97.00000       83.00000       -0.10151
       99.00000       83.00000       -0.10148
      101.00000       83.00000       -0.10142
      103.00000       83.00000       -0.10135
      105.00000       83.00000       -0.10128
      107.00000       83.00000       -0.10123
      109.00000       83.00000       -0.10120
      111.00000       83.00000       -0.10121
      113.00000       83.00000       -0.10127
      115.00000       83.00000       -0.10140
      117.00000       83.00000       -0.10160
      119.00000       83.00000       -0.10189
      121.00000       83.00000       -0.10225
      123.00000       83.00000       -0.10270
      125.00000       83.00000       -0.10322
      127.00000       83.00000       -0.10381
      129.00000       83.00000       -0.10447
      131.00000       83.00000       -0.10517
      133.00000       83.00000       -0.10591
      135.00000       83.00000       -0.10668
      137.00000       83.00000       -0.10747
      139.00000       83.00000       -0.10826
      141.00000       83.00000       -0.10904
      143.00000       83.00000       -0.10981
      145.00000       83.00000       -0.11055
      147.00000       83.00000       -0.11125
      149.00000       83.00000       -0.11190
      151.00000       83.00000       -0.11249
      153.00000       83.00000       -0.11302
      155.00000       83.00000       -0.11346
      157.00000       83.00000       -0.11381
      159.00000       83.00000       -0.11406
      161.00000       83.00000       -0.11418
      163.00000       83.00000       -0.11417
      165.00000       83.00000       -0.11401
      167.00000       83.00000       -0.11366
      169.00000       83.00000       -0.11312
      171.00000       83.00000       -0.11234
      173.00000       83.00000       -0.11130
      175.00000       83.00000       -0.10995
      177.00000       83.00000       -0.10826
      179.00000       83.00000       -0.10616
      181.00000       83.00000       -0.10362
      183.00000       83.00000       -0.10056
      185.00000       83.00000       -0.09691
      187.00000       83.00000       -0.09259
      189.00000       83.00000       -0.08751
      191.00000       83.00000       -0.08158
      193.00000       83.00000       -0.07467
      195.00000       83.00000       -0.06668
      197.00000       83.00000       -0.05747
      199.00000       83.00000       -0.04693
      201.00000       83.00000       -0.03492
      203.00000       83.00000       -0.02132
      205.00000       83.00000       -0.00602
      207.00000       83.00000        0.01106
      209.00000       83.00000        0.02999
      211.00000       83.00000        0.05080
      213.00000       83.00000        0.07349
      215.00000       83.00000        0.09799
      217.00000       83.00000        0.12421
      219.00000       83.00000        0.15197
      221.00000       83.00000        0.18104
      223.00000       83.00000        0.21115
      225.00000       83.00000        0.24195
      227.00000       83.00000        0.27305
      229.00000       83.00000        0.30405
      231.00000       83.00000        0.33449
      233.00000       83.00000        0.36394
      235.00000       83.00000        0.39198
      237.00000       83.00000        0.41823
      239.00000       83.00000        0.44233
      241.00000       83.00000        0.46403
      243.00000       83.00000        0.48313
      245.00000       83.00000        0.49952
      247.00000       83.00000        0.51316
      249.00000       83.00000        0.52412
      251.00000       83.00000        0.53252
      253.00000       83.00000        0.53857
      255.00000       83.00000        0.54251
      257.00000       83.00000        0.54463
      259.00000       83.00000        0.54525
      261.00000       83.00000        0.54469
      263.00000       83.00000        0.54324
      265.00000       83.00000        0.54120
      267.00000       83.00000        0.53881
      269.00000       83.00000        0.53625
      271.00000       83.00000        0.53366
      273.00000       83.00000        0.53110
      275.00000       83.00000        0.52857
      277.00000       83.00000        0.52597
      279.00000       83.00000        0.52318
      281.00000       83.00000        0.51997
      283.00000       83.00000        0.51610
      285.00000       83.00000        0.51127
      287.00000       83.00000        0.50517
      289.00000       83.00000        0.49750
      291.00000       83.00000        0.48797
      293.00000       83.00000        0.47633
      295.00000       83.00000        0.46240
      297.00000       83.00000        0.44604
      299.00000       83.00000        0.42724
      301.00000       83.00000        0.40605
      303.00000       83.00000        0.38261
      305.00000       83.00000        0.35716
      307.00000       83.00000        0.33001
      309.00000       83.00000        0.30155
      311.00000       83.00000        0.27219
      313.00000       83.00000        0.24238
      315.00000       83.00000        0.21258
      317.00000       83.00000        0.18323
      319.00000       83.00000        0.15475
      321.00000       83.00000        0.12749
      323.00000       83.00000        0.10175
      325.00000       83.00000        0.07779
      327.00000       83.00000        0.05576
      329.00000       83.00000        0.03576
      331.00000       83.00000        0.01782
      333.00000       83.00000        0.00192
      335.00000       83.00000       -0.01202
      337.00000       83.00000       -0.02412
      339.00000       83.00000       -0.03454
      341.00000       83.00000       -0.04344
      343.00000       83.00000       -0.05101
      345.00000       83.00000       -0.05745
      347.00000       83.00000       -0.06294
      349.00000       83.00000       -0.06764
      351.00000       83.00000       -0.07173
      353.00000       83.00000       -0.07533
      355.00000       83.00000       -0.07856
      357.00000       83.00000       -0.08150
      359.00000       83.00000       -0.08423
        1.00000       81.00000       -0.08147
        3.00000       81.00000       -0.08342
        5.00000       81.00000       -0.08549
        7.00000       81.00000       -0.08763
        9.00000       81.00000       -0.08974
       11.00000       81.00000       -0.09171
       13.00000       81.00000       -0.09345
       15.00000       81.00000       -0.09486
       17.00000       81.00000       -0.09586
       19.00000       81.00000       -0.09643
       21.00000       81.00000       -0.09655
       23.00000       81.00000       -0.09626
       25.00000       81.00000       -0.09561
       27.00000       81.00000       -0.09468
       29.00000       81.00000       -0.09359
       31.00000       81.00000       -0.09241
       33.00000       81.00000       -0.09125
       35.00000       81.00000       -0.09018
       37.00000       81.00000       -0.08925
       39.00000       81.00000       -0.08849
       41.00000       81.00000       -0.08792
       43.00000       81.00000       -0.08753
       45.00000       81.00000       -0.08731
       47.00000       81.00000       -0.08720
       49.00000       81.00000       -0.08719
       51.00000       81.00000       -0.08722
       53.00000       81.00000       -0.08726
       55.00000       81.00000       -0.08726
       57.00000       81.00000       -0.08721
       59.00000       81.00000       -0.08708
       61.00000       81.00000       -0.08685
       63.00000       81.00000       -0.08653
       65.00000       81.00000       -0.08613
       67.00000       81.00000       -0.08568
       69.00000       81.00000       -0.08519
       71.00000       81.00000       -0.08472
       73.00000       81.00000       -0.08430
       75.00000       81.00000       -0.08396
       77.00000       81.00000       -0.08376
       79.00000       81.00000       -0.08371
       81.00000       81.00000       -0.08382
       83.00000       81.00000       -0.08410
       85.00000       81.00000       -0.08453
       87.00000       81.00000       -0.08508
       89.00000       81.00000       -0.08569
       91.00000       81.00000       -0.08631
       93.00000       81.00000       -0.08686
       95.00000       81.00000       -0.08729
       97.00000       81.00000       -0.08755
       99.00000       81.00000       -0.08760
      101.00000       81.00000       -0.08743
      103.00000       81.00000       -0.08705
      105.00000       81.00000       -0.08650
      107.00000       81.00000       -0.08582
      109.00000       81.00000       -0.08509
      111.00000       81.00000       -0.08438
      113.00000       81.00000       -0.08376
      115.00000       81.00000       -0.08329
      117.00000       81.00000       -0.08303
      119.00000       81.00000       -0.08300
      121.00000       81.00000       -0.08323
      123.00000       81.00000       -0.08371
      125.00000       81.00000       -0.08444
      127.00000       81.00000       -0.08539
      129.00000       81.00000       -0.08654
      131.00000       81.00000       -0.08784
      133.00000       81.00000       -0.08925
      135.00000       81.00000       -0.09075
      137.00000       81.00000       -0.09230
      139.00000       81.00000       -0.09387
      141.00000       81.00000       -0.09544
      143.00000       81.00000       -0.09697
      145.00000       81.00000       -0.09848
