 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# --------------------------------------------
#      lon (deg)      lat (deg)      u_rad (m)
# --------------------------------------------
      349.00000       83.00000       -1.98630
      351.00000       83.00000       -1.92503
      353.00000       83.00000       -1.86159
      355.00000       83.00000       -1.79794
      357.00000       83.00000       -1.73541
      359.00000       83.00000       -1.67484
        1.00000       81.00000       -1.57840
        3.00000       81.00000       -1.51694
        5.00000       81.00000       -1.45925
        7.00000       81.00000       -1.40537
        9.00000       81.00000       -1.35525
       11.00000       81.00000       -1.30872
       13.00000       81.00000       -1.26550
       15.00000       81.00000       -1.22531
       17.00000       81.00000       -1.18783
       19.00000       81.00000       -1.15285
       21.00000       81.00000       -1.12018
       23.00000       81.00000       -1.08967
       25.00000       81.00000       -1.06117
       27.00000       81.00000       -1.03445
       29.00000       81.00000       -1.00920
       31.00000       81.00000       -0.98502
       33.00000       81.00000       -0.96147
       35.00000       81.00000       -0.93811
       37.00000       81.00000       -0.91452
       39.00000       81.00000       -0.89038
       41.00000       81.00000       -0.86552
       43.00000       81.00000       -0.83985
       45.00000       81.00000       -0.81346
       47.00000       81.00000       -0.78653
       49.00000       81.00000       -0.75931
       51.00000       81.00000       -0.73209
       53.00000       81.00000       -0.70520
       55.00000       81.00000       -0.67891
       57.00000       81.00000       -0.65346
       59.00000       81.00000       -0.62905
       61.00000       81.00000       -0.60581
       63.00000       81.00000       -0.58382
       65.00000       81.00000       -0.56315
       67.00000       81.00000       -0.54383
       69.00000       81.00000       -0.52587
       71.00000       81.00000       -0.50924
       73.00000       81.00000       -0.49392
       75.00000       81.00000       -0.47982
       77.00000       81.00000       -0.46685
       79.00000       81.00000       -0.45493
       81.00000       81.00000       -0.44397
       83.00000       81.00000       -0.43391
       85.00000       81.00000       -0.42473
       87.00000       81.00000       -0.41642
       89.00000       81.00000       -0.40897
       91.00000       81.00000       -0.40238
       93.00000       81.00000       -0.39663
       95.00000       81.00000       -0.39168
       97.00000       81.00000       -0.38750
       99.00000       81.00000       -0.38406
      101.00000       81.00000       -0.38135
      103.00000       81.00000       -0.37938
      105.00000       81.00000       -0.37818
      107.00000       81.00000       -0.37777
      109.00000       81.00000       -0.37817
      111.00000       81.00000       -0.37939
      113.00000       81.00000       -0.38143
      115.00000       81.00000       -0.38428
      117.00000       81.00000       -0.38795
      119.00000       81.00000       -0.39247
      121.00000       81.00000       -0.39786
      123.00000       81.00000       -0.40416
      125.00000       81.00000       -0.41140
      127.00000       81.00000       -0.41961
      129.00000       81.00000       -0.42880
      131.00000       81.00000       -0.43898
      133.00000       81.00000       -0.45013
      135.00000       81.00000       -0.46224
      137.00000       81.00000       -0.47531
