 # done by Task#3 of TABOO on 2017.02.06 time=15.50.26
# Time BP (kyrs) =     0.0000
# Load Mass (kg) =    0.000000E+00
# -----------------------------------------------
#      lon (deg)      lat (deg)     d_geo (mm/yr)
# -----------------------------------------------
       17.00000       81.00000        0.00926
       19.00000       81.00000        0.00969
       21.00000       81.00000        0.01009
       23.00000       81.00000        0.01050
       25.00000       81.00000        0.01089
       27.00000       81.00000        0.01129
       29.00000       81.00000        0.01169
       31.00000       81.00000        0.01210
       33.00000       81.00000        0.01251
       35.00000       81.00000        0.01293
       37.00000       81.00000        0.01336
       39.00000       81.00000        0.01379
       41.00000       81.00000        0.01422
       43.00000       81.00000        0.01465
       45.00000       81.00000        0.01509
       47.00000       81.00000        0.01551
       49.00000       81.00000        0.01594
       51.00000       81.00000        0.01635
       53.00000       81.00000        0.01676
       55.00000       81.00000        0.01715
       57.00000       81.00000        0.01753
       59.00000       81.00000        0.01789
       61.00000       81.00000        0.01824
       63.00000       81.00000        0.01857
       65.00000       81.00000        0.01889
       67.00000       81.00000        0.01918
       69.00000       81.00000        0.01946
       71.00000       81.00000        0.01972
       73.00000       81.00000        0.01997
       75.00000       81.00000        0.02019
       77.00000       81.00000        0.02041
       79.00000       81.00000        0.02060
       81.00000       81.00000        0.02078
       83.00000       81.00000        0.02095
       85.00000       81.00000        0.02110
       87.00000       81.00000        0.02125
       89.00000       81.00000        0.02138
       91.00000       81.00000        0.02150
       93.00000       81.00000        0.02162
       95.00000       81.00000        0.02173
       97.00000       81.00000        0.02183
       99.00000       81.00000        0.02192
      101.00000       81.00000        0.02201
      103.00000       81.00000        0.02209
      105.00000       81.00000        0.02216
      107.00000       81.00000        0.02224
      109.00000       81.00000        0.02231
      111.00000       81.00000        0.02237
      113.00000       81.00000        0.02243
      115.00000       81.00000        0.02249
      117.00000       81.00000        0.02254
      119.00000       81.00000        0.02259
      121.00000       81.00000        0.02263
      123.00000       81.00000        0.02267
      125.00000       81.00000        0.02270
      127.00000       81.00000        0.02273
      129.00000       81.00000        0.02275
      131.00000       81.00000        0.02276
      133.00000       81.00000        0.02275
      135.00000       81.00000        0.02274
      137.00000       81.00000        0.02271
      139.00000       81.00000        0.02267
      141.00000       81.00000        0.02260
      143.00000       81.00000        0.02252
      145.00000       81.00000        0.02241
      147.00000       81.00000        0.02227
      149.00000       81.00000        0.02211
